--------- beginning of main
07-30 07:33:24.694 D/SKK     (12649): SKKEngine: processKey: code=117 char='u' state=SKKHiraganaState kanji=false choose=false compose='r' kanjiKey=''
07-30 07:33:24.694 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:33:24.694 D/SKK     (12649): FlickJP: cleanupState lastKey=-209 shiftBefore=false
07-30 07:33:25.545 D/SKK     (12649): FlickJP: releaseShiftKey isShifted=false lastKey=-1
07-30 07:33:25.545 D/SKK     (12649): FlickJP: cleanupState lastKey=-1 shiftBefore=true
07-30 07:33:26.036 D/SKK     (12649): FlickJP: processYAKey isShifted=true flick=[NONE]
07-30 07:33:26.036 D/SKK     (12649): FlickJP: processing y.vowel y=121 vowel=97
07-30 07:33:26.036 D/SKK     (12649): SKKEngine: processKey: code=121 char='y' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:33:26.036 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='y' kanjiKey=''
07-30 07:33:26.036 D/SKK     (12649): SKKEngine: processKey: code=97 char='a' state=SKKHiraganaState kanji=false choose=false compose='y' kanjiKey=''
07-30 07:33:26.036 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
